From Bus,To Bus,R,X,G,B,Max MVA
44,27,5.54E-05,0.00064356,0,0.073548,19
3,2,0.000773717,0.008533613,0,0.095456,11
4,8,0.001067711,0.011757185,0,0.131024,11
4,6,0.000703473,0.007736137,0,0.08664,11
4,47,0.000773717,0.002858306,0,0.095456,30.4
6,2,0.001081551,0.011894995,0,0.133152,11
7,9,0.000451421,0.006540956,0,0.077824,10.12
8,36,0.00204534,0.023637106,0,0.0608,5.06
8,7,0.001019571,0.011791695,0,0.121296,10.12
8,10,0.0004132,0.00720001,0,0.069008,11
9,5,0.000508236,0.007487184,0,0.089984,10.12
10,3,0.001344966,0.01933776,0,0.19456,11
11,16,0.00061588,0.00710684,0,0.17025,9.5
12,31,0.00032524,0.003720192,0,0.353212,19
13,30,0.0001384,0.0016089,0,0.15436,21.964
13,32,7.61E-05,0.00094804,0,0.129844,11.4
13,46,0.000773717,0.008533613,0,0.095456,30.4
14,32,0.000216942,0.003432666,0,0.416772,22.8
15,25,7.85E-05,0.001244216,0,0.134384,30.4
16,26,0.00040828,0.004745044,0,0.457632,19
17,18,0.00039963,0.004280712,0,0.412232,19
18,24,0.000515886,0.00554984,0,0.532996,19
18,41,0.000143936,0.00255348,0,0.2013944,30.4
19,28,0.000176114,0.003034074,0,0.334144,30.4
21,35,0.00028026,0.003026462,0,0.29056,19
22,19,6.92E-06,0.00011418,0,0.0130752,30.4
23,20,0.00033908,0.004388664,0,0.870318,28.5
23,31,0.000520384,0.005881654,0,0.555696,19
25,11,0.00016262,0.00189608,0,0.1816,9.5
25,14,9.79E-05,0.001564266,0,0.16798,30.4
25,23,0.00027507,0.003222298,0,0.30872,21.4776
25,30,0.000587162,0.00686983,0,0.6583,9.5
26,21,0.000170232,0.001980158,0,0.19068,30.4
27,17,0.000801336,0.009439226,0,0.904368,19
27,20,0.000392018,0.004619446,0,0.442196,21.4776
27,42,0.000416584,0.003895614,0,0.09534,9.88
27,43,0.000172308,0.001689518,0,0.09534,9.88
28,39,0.000112796,0.001282968,0,0.14982,11.552
29,15,0.000351323,0.005533338,0,0.59928,30.4
30,16,0.00012283,0.001439706,0,0.138016,10.982
31,45,5.71E-05,0.000628336,0,0.059928,19
33,29,0.000103292,0.004154825,0,0.185232,30.4
34,14,6.09E-05,0.00126463,0,0.19976,30.4
34,33,3.56E-05,0.000575052,0,0.061744,30.4
35,24,0.00052938,0.005717996,0,0.547524,19
35,28,0.000517962,0.008868672,0,0.978824,30.4
1,29,4.81E-07,7.93E-06,0,0.000908,30.4
37,22,4.81E-07,7.93E-06,0,0.000908,30.4
38,19,4.81E-07,7.93E-06,0,0.000908,30.4
40,24,9.00E-05,0.00092728,0,0.148912,19
36,7,2.07E-06,2.89E-05,0,0.0001216,17.6
19,36,0.00385,0.5096,0,0,22.5
21,2,0.00087,0.1147,0,0,10
28,5,0.00116,0.1529,0,0,7.5
